prompted_behavior,teacher_input,model_output,actual_behavior
Distracted,What are the layers of the Earth?,I forgot to brush my teeth.,Distracted
Distracted,What is the heart?,98% of my chest is filled with blood.,Distracted
Distracted,How does the sun affect Earth?,Sunlight feels warm on my skin.,Distracted
Distracted,How does photosynthesis work?,I saw someone smoking a joint.,Distracted
Distracted,What is an ecosystem?,icky feeling.,Distracted
Distracted,How does evaporation happen?,icky feeling when it rains.,Distracted
Distracted,What is a bar graph?,3 is my favorite number.,Distracted
Distracted,Why is recycling important?,It’s good for the environment.,Focused
Distracted,How does sound travel?,40 mph? I thought it was 60.,Confused
Distracted,Why is the scientific method useful?,I have a theory about the weather.,Distracted
Distracted,What is a life cycle?,100 days to grow a human? I forgot about that.,Distracted
Distracted,What is sound?,100% of the time.,Distracted
Distracted,What is the perimeter of a shape?,100 meters? I want to go running.,Distracted
Distracted,Who was the first US president?,2020 is a bad year.,Distracted
Distracted,How does electricity power devices?,I forgot to turn it off last night.,Distracted
Distracted,How does magnetism affect objects?,I saw a magnet on my friend's car.,Distracted
Distracted,Who was Harper Lee?,1960s were crazy. I was so young.,Distracted
Distracted,What is a fable?,Fables are funny.,Focused
Distracted,What is magnetism?,I used to play with stray magnets.,Distracted
Distracted,Why is voting important?,I've never voted before.,Focused
Distracted,Why is plants essential to life?,I forgot to water it today.,Distracted
Distracted,What is area?,100 yards is a long distance.,Distracted
Distracted,What is photosynthesis?,I forgot to water the plants.,Distracted
Distracted,What is a food chain?,iguanas are cute.,Distracted
Distracted,Who was the inventor of the light bulb?,I forgot I turned off my light.,Distracted
Distracted,What is the nervous system?,I forgot to brush my teeth.,Distracted
Distracted,How does plants reproduce?,I forgot I had some flowers in my room.,Distracted
Distracted,How does the water cycle work?,I forgot to turn off the tap.,Distracted
Distracted,Who was the author of '1984'?,1984 sounds like a dystopian novel.,Focused
Distracted,What is the solar system?,200 planets. Can you say that again?,Distracted
Distracted,How does recycling help the environment?,It makes me feel better about littering.,Distracted
Distracted,Who was a hero of the American Revolution?,1776 was a great year.,Distracted
Distracted,Who was Albert Einstein?,1914 was a rough year.,Distracted
Distracted,What is gravity?,I think it's hard to walk on a beach.,Distracted
Distracted,Why is exercise good for your health?,I used to be really tired all the time.,Distracted
Distracted,What is a pronoun?,I use it a lot.,Distracted
Distracted,How does maps help us navigate?,It's hard to focus when I see all those landmarks.,Distracted
Distracted,How does the nervous system send signals?,I get jittery when I watch too much TV.,Distracted
Distracted,What is the water cycle?,I saw a waterfall today.,Distracted
Distracted,How does weather prediction work?,50 degrees feels like 80.,Distracted
Distracted,What is the meaning of democracy?,I once saw a movie about a government.,Distracted
Distracted,What is the Pythagorean theorem?,3 x 3 = 9. Can you repeat that?,Distracted
Distracted,What is fractions?,1/4 cup is so small.,Distracted
Distracted,How does a food chain function?,I never knew it had so many parts.,Distracted
Distracted,How does animals adapt?,I saw a squirrel this morning.,Distracted
Distracted,Why is gravity important?,I got lost in a maze yesterday.,Focused
Distracted,How does a bar graph display data?,2021 was a wild year.,Distracted
Distracted,What is a haiku?,4-7 syllables? I'm not sure I understand.,Confused
Distracted,What is the five senses?,I forgot my glasses.,Distracted
Distracted,What is evaporation?,I once saw a water balloon deflate on a hot day.,Distracted
Focused,What are the layers of the Earth?,"igneous, sedimentary, and metamorphic.",Focused
Focused,What is the heart?,140 beats per minute.,Focused
Focused,How does the sun affect Earth?,"93 million miles away, it creates weather patterns.",Confused
Focused,How does photosynthesis work?,"Plants use light to create energy. Light absorbed by chlorophyll converts to energy,",Focused
Focused,What is an ecosystem?,An environment where living organisms interact.,Focused
Focused,How does evaporation happen?,"When you water your lawn, you release water vapor into the air.",Focused
Focused,What is a bar graph?,A graph with two axes.,Focused
Focused,Why is recycling important?,Recycling reduces waste and conserves natural resources.,Focused
Focused,How does sound travel?,70% of sound is absorbed by Earth's atmosphere.,Focused
Focused,Why is the scientific method useful?,It helps us understand the world around us.,Focused
Focused,What is a life cycle?,1. Fertilization 2. Growth 3. Development 4. Re,Focused
Focused,What is sound?,Sound is the vibration of objects.,Focused
Focused,What is the perimeter of a shape?,3 sides.,Focused
Focused,Who was the first US president?,"45th president, Barack Obama.",Focused
Focused,How does electricity power devices?,120 volts is the standard voltage used to power devices.,Confused
Focused,How does magnetism affect objects?,Magnets can attract or repel things.,Focused
Focused,Who was Harper Lee?,She wrote “To Kill a Mockingbird.”,Focused
Focused,What is a fable?,A story with a moral.,Focused
Focused,What is magnetism?,Magnets are made of iron and magnetic materials.,Focused
Focused,Why is voting important?,Voting helps to ensure that our voices are heard.,Focused
Focused,Why is plants essential to life?,Plants produce oxygen and absorb carbon dioxide.,Focused
Focused,What is area?,3.141592653589793238,Focused
Focused,What is photosynthesis?,Plants use sunlight to convert carbon dioxide and water into food.,Focused
Focused,What is a food chain?,1. Carnivore,Focused
Focused,Who was the inventor of the light bulb?,Thomas Edison. He invented the light bulb and changed the world.,Focused
Focused,What is the nervous system?,The nervous system controls our body's response to stimuli.,Focused
Focused,How does plants reproduce?,Plants reproduce through seeds.,Focused
Focused,How does the water cycle work?,icy conditions can form on the surface of water due to evaporation. The water vapor r,Focused
Focused,Who was the author of '1984'?,1984 is a dystopian novel by George Orwell.,Focused
Focused,What is the solar system?,"7 planets, 7 moons, and more than 100 asteroids.",Focused
Focused,How does recycling help the environment?,"100% of waste is recycled, which reduces waste in landfills. It",Focused
Focused,Who was a hero of the American Revolution?,1776 was the year George Washington led the Continental Army.,Focused
Focused,Who was Albert Einstein?,He was a Nobel Prize winner in physics.,Focused
Focused,What is gravity?,9.8 m/s²,Focused
Focused,Why is exercise good for your health?,Exercise helps reduce stress and improve mood.,Focused
Focused,What is a pronoun?,"1st person singular pronouns are I, me, my, and mine.",Focused
Focused,How does maps help us navigate?,1:1 mapping technology allows us to see our surroundings more clearly.,Focused
Focused,How does the nervous system send signals?,Nerve impulses travel through the spinal cord and then to the brain.,Focused
Focused,What is the water cycle?,"Water evaporates from the earth, moves to the air, then condenses back to water.",Focused
Focused,How does weather prediction work?,Weather patterns are based on the Earth's rotation and the position of the sun. The Earth,Focused
Focused,What is the meaning of democracy?,Democracy is a form of government where everyone has a voice.,Focused
Focused,What is the Pythagorean theorem?,3 sides of a triangle have equal length.,Focused
Focused,What is fractions?,1/4 is 1/4.,Focused
Focused,How does a food chain function?,Animals eat plants and plants produce oxygen.,Focused
Focused,How does animals adapt?,"They have different skin types, for example.",Focused
Focused,Why is gravity important?,Gravity helps us stay on Earth.,Focused
Focused,How does a bar graph display data?,100 is the height and the y-axis represents the average temperature.,Focused
Focused,What is a haiku?,"5-7 syllables, three lines.",Focused
Focused,What is the five senses?,5 is the fifth number.,Focused
Focused,What is evaporation?,Water evaporates from the Earth's surface.,Focused
Confused,What are the layers of the Earth?,3? I thought it was 7?,Confused
Confused,What is the heart?,22?,Confused
Confused,How does the sun affect Earth?,12 hours? I thought it was 24 hours.,Confused
Confused,How does photosynthesis work?,3 hours?!?,Confused
Confused,What is an ecosystem?,100 fish in a pond?,Confused
Confused,How does evaporation happen?,2/3 of the Earth is water?,Confused
Confused,What is a bar graph?,3x4 squares?,Confused
Confused,Why is recycling important?,Is it just for plastic?,Confused
Confused,How does sound travel?,250 miles per hour?,Confused
Confused,Why is the scientific method useful?,It's a fancy way to test things?,Confused
Confused,What is a life cycle?,10 months? I thought it was 12 months.,Confused
Confused,What is sound?,2200 hertz?,Confused
Confused,What is the perimeter of a shape?,5 square feet?,Confused
Confused,Who was the first US president?,23rd?,Confused
Confused,How does electricity power devices?,120 volts?,Confused
Confused,How does magnetism affect objects?,100%?,Confused
Confused,Who was Harper Lee?,1965?,Confused
Confused,What is a fable?,A silly story?,Confused
Confused,What is magnetism?,A force that pulls objects?,Confused
Confused,Why is voting important?,100 years ago?,Confused
Confused,Why is plants essential to life?,Is it because we eat it?,Confused
Confused,What is area?,3.14?,Confused
Confused,What is photosynthesis?,"50% sunlight, 50% water?",Confused
Confused,What is a food chain?,500 people?,Confused
Confused,Who was the inventor of the light bulb?,19th century?,Confused
Confused,What is the nervous system?,360 degrees?,Confused
Confused,How does plants reproduce?,3-way cross?,Confused
Confused,How does the water cycle work?,1. Can you repeat the question? 2. No.,Distracted
Confused,Who was the author of '1984'?,1984 is a movie?,Confused
Confused,What is the solar system?,10 planets?,Confused
Confused,How does recycling help the environment?,I didn't know that.,Focused
Confused,Who was a hero of the American Revolution?,18th century?,Confused
Confused,Who was Albert Einstein?,1914? I thought it was 1915.,Distracted
Confused,What is gravity?,100 miles per hour?,Confused
Confused,Why is exercise good for your health?,Exercise makes you tired?,Confused
Confused,What is a pronoun?,3-sided shape?,Confused
Confused,How does maps help us navigate?,511? I don't know what that is.,Confused
Confused,How does the nervous system send signals?,100 miles? Can you repeat that?,Distracted
Confused,What is the water cycle?,40 minutes?!? I thought it was 24 hours.,Confused
Confused,How does weather prediction work?,2020 was a weird year.,Distracted
Confused,What is the meaning of democracy?,100%?,Confused
Confused,What is the Pythagorean theorem?,5 x 5 = 25?,Confused
Confused,What is fractions?,1/2?,Confused
Confused,How does a food chain function?,100 fish swim upstream?,Confused
Confused,How does animals adapt?,They have fur?,Confused
Confused,Why is gravity important?,240 km/h?!,Confused
Confused,How does a bar graph display data?,200? I think it's 100.,Distracted
Confused,What is a haiku?,27 syllables? What is that?,Confused
Confused,What is the five senses?,6?,Confused
Confused,What is evaporation?,100% humidity?,Confused
